Index;Class;Formula;Exp m/z;Total Abund;#C;#H;#N;#O;#S;H/C;N/C;O/C;S/C
1;HC;C29H54;402,422043;538365;29;54;0;0;0;1,8621;0;0;0
2;HC;C30H56;416,437773;487774;30;56;0;0;0;1,8667;0;0;0
3;HC;C32H60;444,468871;521384;32;60;0;0;0;1,875;0;0;0
4;HC;C38H72;528,562594;803735;38;72;0;0;0;1,8947;0;0;0
5;HC;C39H74;542,578636;605110;39;74;0;0;0;1,8974;0;0;0
6;HC;C40H76;556,59425;616452;40;76;0;0;0;1,9;0;0;0
7;HC;C27H48;372,374952;544514;27;48;0;0;0;1,7778;0;0;0
8;HC;C28H50;386,3907;887141;28;50;0;0;0;1,7857;0;0;0
9;HC;C29H52;400,406308;1577019,22;29;52;0;0;0;1,7931;0;0;0
10;HC;C30H54;414,422114;2398917,87;30;54;0;0;0;1,8;0;0;0
11;HC;C31H56;428,437834;672478;31;56;0;0;0;1,8065;0;0;0
12;HC;C32H58;442,453195;1082393;32;58;0;0;0;1,8125;0;0;0
13;HC;C33H60;456,468522;701944;33;60;0;0;0;1,8182;0;0;0
14;HC;C34H62;470,48436;1663653,76;34;62;0;0;0;1,8235;0;0;0
15;HC;C35H64;484,500216;2298513;35;64;0;0;0;1,8286;0;0;0
16;HC;C36H66;498,516035;2452437,02;36;66;0;0;0;1,8333;0;0;0
17;HC;C37H68;512,531541;2093413,45;37;68;0;0;0;1,8378;0;0;0
18;HC;C38H70;526,547272;3136374;38;70;0;0;0;1,8421;0;0;0
19;HC;C39H72;540,562769;2418569;39;72;0;0;0;1,8462;0;0;0
20;HC;C40H74;554,578478;2764280,86;40;74;0;0;0;1,85;0;0;0
21;HC;C41H76;568,594394;3095382;41;76;0;0;0;1,8537;0;0;0
22;HC;C42H78;582,609805;2077418,54;42;78;0;0;0;1,8571;0;0;0
23;HC;C43H80;596,62505;2785983,29;43;80;0;0;0;1,8605;0;0;0
24;HC;C44H82;610,640652;2059109,99;44;82;0;0;0;1,8636;0;0;0
25;HC;C45H84;624,65635;1716011,65;45;84;0;0;0;1,8667;0;0;0
26;HC;C46H86;638,672435;1565650,35;46;86;0;0;0;1,8696;0;0;0
27;HC;C47H88;652,687885;1000899;47;88;0;0;0;1,8723;0;0;0
28;HC;C48H90;666,70346;883286;48;90;0;0;0;1,875;0;0;0
29;HC;C50H94;694,734854;958089;50;94;0;0;0;1,88;0;0;0
30;HC;C26H44;356,34374;759116;26;44;0;0;0;1,6923;0;0;0
31;HC;C27H46;370,359262;1209395;27;46;0;0;0;1,7037;0;0;0
32;HC;C28H48;384,374974;2529880;28;48;0;0;0;1,7143;0;0;0
33;HC;C29H50;398,390675;2884635,16;29;50;0;0;0;1,7241;0;0;0
34;HC;C30H52;412,406375;2327725;30;52;0;0;0;1,7333;0;0;0
35;HC;C31H54;426,42192;1572626,94;31;54;0;0;0;1,7419;0;0;0
36;HC;C32H56;440,437545;2016468,15;32;56;0;0;0;1,75;0;0;0
37;HC;C33H58;454,453222;1914170;33;58;0;0;0;1,7576;0;0;0
38;HC;C34H60;468,469037;3731702;34;60;0;0;0;1,7647;0;0;0
39;HC;C35H62;482,484586;4170509;35;62;0;0;0;1,7714;0;0;0
40;HC;C36H64;496,500407;4328259,27;36;64;0;0;0;1,7778;0;0;0
41;HC;C37H66;510,516119;4306084,59;37;66;0;0;0;1,7838;0;0;0
42;HC;C38H68;524,531725;5806661,85;38;68;0;0;0;1,7895;0;0;0
43;HC;C39H70;538,547075;6246716,98;39;70;0;0;0;1,7949;0;0;0
44;HC;C40H72;552,562874;5348199,43;40;72;0;0;0;1,8;0;0;0
45;HC;C41H74;566,578591;5531344,26;41;74;0;0;0;1,8049;0;0;0
46;HC;C42H76;580,594001;4339664,88;42;76;0;0;0;1,8095;0;0;0
47;HC;C43H78;594,609458;3937813,11;43;78;0;0;0;1,814;0;0;0
48;HC;C44H80;608,625112;3834903,32;44;80;0;0;0;1,8182;0;0;0
49;HC;C45H82;622,641061;3170801,31;45;82;0;0;0;1,8222;0;0;0
50;HC;C46H84;636,656929;2826898;46;84;0;0;0;1,8261;0;0;0
51;HC;C47H86;650,672427;2578984,08;47;86;0;0;0;1,8298;0;0;0
52;HC;C48H88;664,688076;2305042,7;48;88;0;0;0;1,8333;0;0;0
53;HC;C49H90;678,703866;1311765;49;90;0;0;0;1,8367;0;0;0
54;HC;C50H92;692,719385;1038035;50;92;0;0;0;1,84;0;0;0
55;HC;C51H94;706,735265;1622511;51;94;0;0;0;1,8431;0;0;0
56;HC;C52H96;720,750644;1020825;52;96;0;0;0;1,8462;0;0;0
57;HC;C53H98;734,766637;716290;53;98;0;0;0;1,8491;0;0;0
58;HC;C54H100;748,782122;699767;54;100;0;0;0;1,8519;0;0;0
59;HC;C55H102;762,797505;918932;55;102;0;0;0;1,8545;0;0;0
60;HC;C26H42;354,327832;1880844,2;26;42;0;0;0;1,6154;0;0;0
61;HC;C27H44;368,343703;6191519;27;44;0;0;0;1,6296;0;0;0
62;HC;C28H46;382,359243;2077328,21;28;46;0;0;0;1,6429;0;0;0
63;HC;C29H48;396,37492;3317731;29;48;0;0;0;1,6552;0;0;0
64;HC;C30H50;410,390762;4577454,21;30;50;0;0;0;1,6667;0;0;0
65;HC;C31H52;424,406249;2506363;31;52;0;0;0;1,6774;0;0;0
66;HC;C32H54;438,42192;4378239;32;54;0;0;0;1,6875;0;0;0
67;HC;C33H56;452,437626;4325040;33;56;0;0;0;1,697;0;0;0
68;HC;C34H58;466,453328;5169107,38;34;58;0;0;0;1,7059;0;0;0
69;HC;C35H60;480,468985;5181901,03;35;60;0;0;0;1,7143;0;0;0
70;HC;C36H62;494,484762;7286369,93;36;62;0;0;0;1,7222;0;0;0
71;HC;C37H64;508,500341;6108889;37;64;0;0;0;1,7297;0;0;0
72;HC;C38H66;522,516127;8804060;38;66;0;0;0;1,7368;0;0;0
73;HC;C39H68;536,531666;7090724,26;39;68;0;0;0;1,7436;0;0;0
74;HC;C40H70;550,547542;9117856,51;40;70;0;0;0;1,75;0;0;0
75;HC;C41H72;564,56304;9644552,21;41;72;0;0;0;1,7561;0;0;0
76;HC;C42H74;578,578643;6181036,56;42;74;0;0;0;1,7619;0;0;0
77;HC;C43H76;592,593681;7767533;43;76;0;0;0;1,7674;0;0;0
78;HC;C44H78;606,609684;8231146,35;44;78;0;0;0;1,7727;0;0;0
79;HC;C45H80;620,62527;4730451,44;45;80;0;0;0;1,7778;0;0;0
80;HC;C46H82;634,641178;4582764,89;46;82;0;0;0;1,7826;0;0;0
81;HC;C47H84;648,656711;5525468,99;47;84;0;0;0;1,7872;0;0;0
82;HC;C48H86;662,672536;4020118;48;86;0;0;0;1,7917;0;0;0
83;HC;C49H88;676,688118;2457272,17;49;88;0;0;0;1,7959;0;0;0
84;HC;C50H90;690,703881;2865851,98;50;90;0;0;0;1,8;0;0;0
85;HC;C51H92;704,719448;2654482,53;51;92;0;0;0;1,8039;0;0;0
86;HC;C52H94;718,735152;2227939,16;52;94;0;0;0;1,8077;0;0;0
87;HC;C53H96;732,750616;1152063;53;96;0;0;0;1,8113;0;0;0
88;HC;C54H98;746,766419;2450095,06;54;98;0;0;0;1,8148;0;0;0
89;HC;C55H100;760,781779;911669;55;100;0;0;0;1,8182;0;0;0
90;HC;C56H102;774,797411;1154121;56;102;0;0;0;1,8214;0;0;0
91;HC;C57H104;788,813088;1114825;57;104;0;0;0;1,8246;0;0;0
92;HC;C63H116;872,906708;656711;63;116;0;0;0;1,8413;0;0;0
93;HC;C26H40;352,312296;1141784;26;40;0;0;0;1,5385;0;0;0
94;HC;C27H42;366,328052;3810143;27;42;0;0;0;1,5556;0;0;0
95;HC;C28H44;380,343619;2418703;28;44;0;0;0;1,5714;0;0;0
96;HC;C29H46;394,359338;3842598;29;46;0;0;0;1,5862;0;0;0
97;HC;C30H48;408,375035;4584170,61;30;48;0;0;0;1,6;0;0;0
98;HC;C31H50;422,390669;3130985;31;50;0;0;0;1,6129;0;0;0
99;HC;C32H52;436,406485;5190139;32;52;0;0;0;1,625;0;0;0
100;HC;C33H54;450,422011;5495436;33;54;0;0;0;1,6364;0;0;0
101;HC;C34H56;464,437483;6649895,04;34;56;0;0;0;1,6471;0;0;0
102;HC;C35H58;478,453422;6500116,51;35;58;0;0;0;1,6571;0;0;0
103;HC;C36H60;492,468791;10996819,95;36;60;0;0;0;1,6667;0;0;0
104;HC;C37H62;506,48446;9587158;37;62;0;0;0;1,6757;0;0;0
105;HC;C38H64;520,50038;9362773,92;38;64;0;0;0;1,6842;0;0;0
106;HC;C39H66;534,516021;9437394,4;39;66;0;0;0;1,6923;0;0;0
107;HC;C40H68;548,531564;10695454;40;68;0;0;0;1,7;0;0;0
108;HC;C41H70;562,547109;12665329;41;70;0;0;0;1,7073;0;0;0
109;HC;C42H72;576,563029;8142130,67;42;72;0;0;0;1,7143;0;0;0
110;HC;C43H74;590,578274;10061148,8;43;74;0;0;0;1,7209;0;0;0
111;HC;C44H76;604,593793;10550340;44;76;0;0;0;1,7273;0;0;0
112;HC;C45H78;618,60936;6920430;45;78;0;0;0;1,7333;0;0;0
113;HC;C46H80;632,625453;6474556;46;80;0;0;0;1,7391;0;0;0
114;HC;C47H82;646,641154;7522795,07;47;82;0;0;0;1,7447;0;0;0
115;HC;C48H84;660,656628;6070392;48;84;0;0;0;1,75;0;0;0
